scenario,frame_idx,frame_name,ego_cav,com_range_m,bandwidth_mbps,all_cavs,in_range_cavs,selected_cavs,n_selected,fusion_method,reason,llm_response_time_s
2021_08_18_19_11_02,0,000070,1188,70.0,5.43,1188|1197|1206|1215,1188|1197|1206|1215,1188|1206|1197|1215,4,late,"Rule-based: bandwidth=5.4 Mbps (tier=low), fusion=late, selected 3 nearest non-ego CAV(s) out of 3 in range.",0.0
2021_08_18_19_11_02,50,000170,1188,70.0,5.56,1188|1197|1206|1215,1188|1197|1206|1215,1188|1206|1197|1215,4,late,"Rule-based: bandwidth=5.6 Mbps (tier=low), fusion=late, selected 3 nearest non-ego CAV(s) out of 3 in range.",0.0
2021_08_18_19_11_02,100,000270,1188,70.0,5.47,1188|1197|1206|1215,1188|1197|1206|1215,1188|1206|1215|1197,4,late,"Rule-based: bandwidth=5.5 Mbps (tier=low), fusion=late, selected 3 nearest non-ego CAV(s) out of 3 in range.",0.0
2021_08_20_20_39_00,50,000169,1234,45.0,5.48,1234|1243|1252,1234|1243|1252,1234|1252|1243,3,late,"Rule-based: bandwidth=5.5 Mbps (tier=low), fusion=late, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
2021_08_20_20_39_00,100,000269,1234,45.0,5.34,1234|1243|1252,1234|1243|1252,1234|1243|1252,3,late,"Rule-based: bandwidth=5.3 Mbps (tier=low), fusion=late, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
2021_08_21_09_09_41,0,000070,476,45.0,53.28,476|485|494|503,476|494|503,476|503|494,3,intermediate,"Rule-based: bandwidth=53.3 Mbps (tier=high), fusion=intermediate, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
2021_08_21_09_09_41,150,000370,485,45.0,54.32,476|485|494|503,476|485|494,485|476|494,3,intermediate,"Rule-based: bandwidth=54.3 Mbps (tier=high), fusion=intermediate, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
2021_08_21_22_21_37,100,000269,2987,45.0,5.36,2987|2996|3005,2987|2996|3005,2987|2996|3005,3,late,"Rule-based: bandwidth=5.4 Mbps (tier=low), fusion=late, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
2021_08_22_06_43_37,50,000170,3152,45.0,56.76,3152|3161|3170|3179,3152|3161|3170|3179,3152|3170|3179|3161,4,intermediate,"Rule-based: bandwidth=56.8 Mbps (tier=high), fusion=intermediate, selected 3 nearest non-ego CAV(s) out of 3 in range.",0.0
2021_08_22_06_43_37,100,000270,3152,45.0,53.86,3152|3161|3170|3179,3152|3161|3170|3179,3152|3170|3179|3161,4,intermediate,"Rule-based: bandwidth=53.9 Mbps (tier=high), fusion=intermediate, selected 3 nearest non-ego CAV(s) out of 3 in range.",0.0
